inchi,names,iupac_name,smiles,cid,record_ids,logBB,logBB_group,BBB+/BBB-,BBB+/BBB-_group,split
"InChI=1S/C13H16ClNO/c1-15-13(9-5-4-8-12(13)16)10-6-2-3-7-11(10)14/h2-3,6-7,15H,4-5,8-9H2,1H3",Ketamine,2-(2-chlorophenyl)-2-(methylamino)cyclohexan-1-one,CNC1(c2ccccc2Cl)CCCCC1=O,3821.0,R7:88|R26:231|R29:82|R51:234,,,BBB+,B,training
"InChI=1S/C13H16N2/c1-9-5-4-6-12(10(9)2)11(3)13-7-14-8-15-13/h4-8,11H,1-3H3,(H,14,15)/t11-/m0/s1",Dexmedetomidine,"5-[(1S)-1-(2,3-dimethylphenyl)ethyl]-1H-imidazole",Cc1cccc([C@H](C)c2cnc[nH]2)c1C,5311068.0,R14:66|R23:279,,,BBB+,C,training
"InChI=1S/C13H16N2O2S/c1-2-8-13(9-6-4-3-5-7-9)10(16)14-12(18)15-11(13)17/h2,4,6,9H,1,3,5,7-8H2,(H2,14,15,16,17,18)",Thialbarbital,"5-cyclohex-2-en-1-yl-5-prop-2-enyl-2-sulfanylidene-1,3-diazinane-4,6-dione",C=CCC1(C2C=CCCC2)C(=O)NC(=S)NC1=O,3032306.0,R6:1669,,,BBB+,C,training
"InChI=1S/C13H16N2O3/c1-2-8-14-12(16)15-9-11(18-13(15)17)10-6-4-3-5-7-10/h3-7,11H,2,8-9H2,1H3,(H,14,16)",Profexalone,"2-oxo-5-phenyl-N-propyl-1,3-oxazolidine-3-carboxamide",CCCNC(=O)N1CC(c2ccccc2)OC1=O,65786.0,R6:1375,,,BBB+,C,training
"InChI=1S/C13H16N2O4S/c1-9(2)14-20(18,19)8-7-15-12(16)10-5-3-4-6-11(10)13(15)17/h3-6,9,14H,7-8H2,1-2H3",Taltrimide,"2-(1,3-dioxoisoindol-2-yl)-N-propan-2-ylethanesulfonamide",CC(C)NS(=O)(=O)CCN1C(=O)c2ccccc2C1=O,71248.0,R6:472|R7:162|R29:159,,,BBB+,B,test
"InChI=1S/C13H16N4O3S/c1-8(11-3-4-20-13(19)21-11)17(7-18)6-10-5-15-9(2)16-12(10)14/h5,7H,3-4,6H2,1-2H3,(H2,14,15,16)/b11-8-",Cycotiamine,"N-[(4-amino-2-methylpyrimidin-5-yl)methyl]-N-[(1Z)-1-(2-oxo-1,3-oxathian-4-ylidene)ethyl]formamide",C/C(=C1\CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N,10357917.0,R6:390,,,BBB+,C,test
"InChI=1S/C13H17ClN2O2/c14-12-3-1-11(2-4-12)13(17)15-5-6-16-7-9-18-10-8-16/h1-4H,5-10H2,(H,15,17)",Moclobemide,4-chloro-N-(2-morpholin-4-ylethyl)benzamide,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,4235.0,R6:975|R14:155|R23:154|R28:275|R37:55,,,BBB+,B,training
"InChI=1S/C13H17N/c1-4-10-14(3)12(2)11-13-8-6-5-7-9-13/h1,5-9,12H,10-11H2,2-3H3/t12-/m1/s1",Selegiline,(2R)-N-methyl-1-phenyl-N-prop-2-ynylpropan-2-amine,C#CCN(C)[C@H](C)Cc1ccccc1,26757.0,R6:982|R14:228|R26:373|R34:84|R37:89,0.57,A,BBB+,A,training
"InChI=1S/C13H17N3O/c1-10-12(14(2)3)13(17)16(15(10)4)11-8-6-5-7-9-11/h5-9H,1-4H3",Aminopyrine Ok|Aminopyrine|Aminophenazone|Amidazophen,"4-(dimethylamino)-1,5-dimethyl-2-phenylpyrazol-3-one",Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,6009.0,R3:124|R5:15|R12:19|R21:148|R23:345|R25:121|R26:28|R28:65|R39:13|R40:34|R41:118|R44:9|R44:85|R46:119|R47:105,0.0,B,BBB+,A,training
"InChI=1S/C13H17N3O4S/c1-10-12(14(2)9-21(18,19)20)13(17)16(15(10)3)11-7-5-4-6-8-11/h4-8H,9H2,1-3H3,(H,18,19,20)",Dipyrone|Metamizole,"[(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-methylamino]methanesulfonic acid",Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,3111.0,R14:505,,,BBB-,C,training
"InChI=1S/C13H17N5O8S2/c1-5-7(10(20)18(5)28(23,24)25)16-9(19)8(6-4-27-12(14)15-6)17-26-13(2,3)11(21)22/h4-5,7H,1-3H3,(H2,14,15)(H,16,19)(H,21,22)(H,23,24,25)/b17-8-/t5-,7-/m0/s1",Aztreonam|Aztreonam E-Isomer,"2-[(E)-[1-(2-amino-1,3-thiazol-4-yl)-2-[[(2S,3S)-2-methyl-4-oxo-1-sulfoazetidin-3-yl]amino]-2-oxoethylidene]amino]oxy-2-methylpropanoic acid",C[C@H]1[C@H](NC(=O)/C(=N/OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,5459211.0,R6:142|R23:375,,,BBB-,C,test
"InChI=1S/C13H17N7S/c1-16-12(17-2)18-9-5-3-4-8(6-9)10-7-21-13(19-10)20-11(14)15/h3-7H,1-2H3,(H2,16,17,18)(H4,14,15,19,20)",19,,C/N=C(\NC)Nc1cccc(-c2csc(N=C(N)N)n2)c1,,R52:19,-1.54,A,BBB-,A,training
"InChI=1S/C13H17NO/c1-4-8-13(15)14(5-2)12-10-7-6-9-11(12)3/h4,6-10H,5H2,1-3H3/b8-4+",Crotamiton,(E)-N-ethyl-N-(2-methylphenyl)but-2-enamide,C/C=C/C(=O)N(CC)c1ccccc1C,688020.0,R23:483,,,BBB-,C,test
"InChI=1S/C13H17NO2/c1-2-16-13(15)14(12-8-9-12)10-11-6-4-3-5-7-11/h3-7,12H,2,8-10H2,1H3",Encyprate,ethyl N-benzyl-N-cyclopropylcarbamate,CCOC(=O)N(Cc1ccccc1)C1CC1,17298.0,R6:537,,,BBB+,C,training
"InChI=1S/C13H18Br2N2O/c14-9-5-8(13(16)12(15)6-9)7-17-10-1-3-11(18)4-2-10/h5-6,10-11,17-18H,1-4,7,16H2",Ambroxol,"4-[(2-amino-3,5-dibromophenyl)methylamino]cyclohexan-1-ol",Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,2132.0,R14:342,,,BBB-,C,test
"InChI=1S/C13H18Cl2N2O2/c14-5-7-17(8-6-15)11-3-1-10(2-4-11)9-12(16)13(18)19/h1-4,12H,5-9,16H2,(H,18,19)",Sarcolysin,2-amino-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,4053.0,R46:423,-0.5,A,BBB+,A,training
"InChI=1S/C13H18Cl2N2O2/c14-5-7-17(8-6-15)11-3-1-10(2-4-11)9-12(16)13(18)19/h1-4,12H,5-9,16H2,(H,18,19)/t12-/m0/s1",Melphalan,(2S)-2-amino-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,460612.0,R14:672|R25:505|R51:83,-0.5,A,BBB+,A,training
"InChI=1S/C13H18ClN3O/c1-15(2)6-7-16-8-9-17(13(16)18)12-5-3-4-11(14)10-12/h3-5,10H,6-9H2,1-2H3",Imidoline,1-(3-chlorophenyl)-3-[2-(dimethylamino)ethyl]imidazolidin-2-one,CN(C)CCN1CCN(c2cccc(Cl)c2)C1=O,23728.0,R6:1478,,,BBB+,C,training
"InChI=1S/C13H18ClNO/c1-15(2)11-6-4-5-9-12(16-3)8-7-10(14)13(9)11/h7-8,11H,4-6H2,1-3H3",Lometraline,"8-chloro-5-methoxy-N,N-dimethyl-1,2,3,4-tetrahydronaphthalen-1-amine",COc1ccc(Cl)c2c1CCCC2N(C)C,34789.0,R6:378,,,BBB+,C,test
"InChI=1S/C13H18ClNO/c1-9(15-13(2,3)4)12(16)10-6-5-7-11(14)8-10/h5-9,15H,1-4H3","34911-55-2|Bupropion|Buproprion, Wellbutrin",2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,444.0,R4:178|R6:499|R14:27|R21:10|R25:171|R26:88|R28:240|R34:10|R40:64|R46:162|R47:331|R51:167|R53:5,1.34,B1,BBB+,A,training
"InChI=1S/C13H18ClNO2/c1-9(15)12(16)17-13(2,3)8-10-4-6-11(14)7-5-10/h4-7,9H,8,15H2,1-3H3",Alaproclate,[1-(4-chlorophenyl)-2-methylpropan-2-yl] 2-aminopropanoate,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,2081.0,R6:417,,,BBB+,C,training
"InChI=1S/C13H18N2/c1-9-3-4-12-10(7-9)11-8-15(2)6-5-13(11)14-12/h3-4,7,11,13-14H,5-6,8H2,1-2H3",Dicarbine,"2,8-dimethyl-1,3,4,4a,5,9b-hexahydropyrido[4,3-b]indole",Cc1ccc2c(c1)C1CN(C)CCC1N2,65684.0,R6:1146,,,BBB+,C,training
"InChI=1S/C13H18N2O/c1-10(2)11-5-3-4-6-12(11)16-9-13-14-7-8-15-13/h3-6,10H,7-9H2,1-2H3,(H,14,15)",Fenoxazoline,"2-[(2-propan-2-ylphenoxy)methyl]-4,5-dihydro-1H-imidazole",CC(C)c1ccccc1OCC1=NCCN1,71899.0,R6:90,,,BBB-,C,training
"InChI=1S/C13H18N2O3/c1-2-13(9-7-5-3-4-6-8-9)10(16)14-12(18)15-11(13)17/h7H,2-6,8H2,1H3,(H2,14,15,16,17,18)",Heptabarb|Heptabarbital,"5-(cyclohepten-1-yl)-5-ethyl-1,3-diazinane-2,4,6-trione",CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,10518.0,R6:1652,,,BBB+,C,training
"InChI=1S/C13H18N2O4S2/c1-4-5-20-6-7(16)14-8-10(17)15-9(12(18)19)13(2,3)21-11(8)15/h4,8-9,11H,1,5-6H2,2-3H3,(H,14,16)(H,18,19)/t8-,9+,11-/m1/s1",Almecillin,"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(2-prop-2-enylsulfanylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",C=CCSCC(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,71365.0,R6:135,,,BBB-,C,test
"InChI=1S/C13H18N4O3/c1-9(18)6-4-5-7-17-12(19)10-11(14-8-15(10)2)16(3)13(17)20/h8H,4-7H2,1-3H3",Pentoxifylline,"3,7-dimethyl-1-(5-oxohexyl)purine-2,6-dione",CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,4740.0,R14:760,,,BBB-,C,test
"InChI=1S/C13H18N4O3S/c1-16(2)9-10-3-4-12(20-10)21-8-7-15-13-11(17(18)19)5-6-14-13/h3-6,14-15H,7-9H2,1-2H3",Bbcpd17,,CN(C)Cc1ccc(SCCNc2[nH]ccc2[N+](=O)[O-])o1,,R3:313|R41:279,-1.12,B,BBB-,A,training
"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)",Ibuprofen|15687-27-1|Lbuprofen,2-[4-(2-methylpropyl)phenyl]propanoic acid,CC(C)Cc1ccc(C(C)C(=O)O)cc1,3672.0,R3:183|R4:25|R5:55|R12:89|R17:34|R21:86|R23:112|R25:254|R26:215|R28:22|R31:7|R40:127|R41:169|R42:21|R46:229|R47:155|R49:107|R49:119|R50:18|R51:70,-0.18,B1,BBB+,A,training
"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/t10-/m1/s1",(R)-(-)-Ibuprofen,(2R)-2-[4-(2-methylpropyl)phenyl]propanoic acid,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,114864.0,R48:6,-0.18,A,BBB+,A,training
"InChI=1S/C13H18O7/c14-5-7-3-1-2-4-8(7)19-13-12(18)11(17)10(16)9(6-15)20-13/h1-4,9-18H,5-6H2/t9-,10-,11+,12-,13-/m1/s1",Salicin,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[2-(hydroxymethyl)phenoxy]oxane-3,4,5-triol",OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,439503.0,R6:1318,,,BBB+,C,training
"InChI=1S/C13H19N5/c1-10(13(2,3)4)17-12(16-9-14)18-11-5-7-15-8-6-11/h5-8,10H,1-4H3,(H2,15,16,17,18)",Pinacidil,"1-cyano-2-(3,3-dimethylbutan-2-yl)-3-pyridin-4-ylguanidine",CC(/N=C(\NC#N)Nc1ccncc1)C(C)(C)C,4826.0,R14:773|R23:837,,,BBB-,C,training
"InChI=1S/C13H19NO2/c1-2-3-8-14-9-11-10-15-12-6-4-5-7-13(12)16-11/h4-7,11,14H,2-3,8-10H2,1H3",Butamoxane,"N-(2,3-dihydro-1,4-benzodioxin-3-ylmethyl)butan-1-amine",CCCCNCC1COc2ccccc2O1,20504.0,R6:1426,,,BBB+,C,training
"InChI=1S/C13H19NO2/c1-9-4-3-5-12(10(9)2)16-13-6-7-14-8-11(13)15/h3-5,11,13-15H,6-8H2,1-2H3/t11-,13+/m1/s1",Ifoxetine,"(3R,4S)-4-(2,3-dimethylphenoxy)piperidin-3-ol",Cc1cccc(O[C@H]2CCNC[C@H]2O)c1C,71971.0,R6:558,,,BBB+,C,training
"InChI=1S/C13H19NO3/c1-2-15-12-5-3-4-6-13(12)17-10-11-9-14-7-8-16-11/h3-6,11,14H,2,7-10H2,1H3",Viloxazine,2-[(2-ethoxyphenoxy)methyl]morpholine,CCOc1ccccc1OCC1CNCCO1,5666.0,R6:633|R14:270|R23:264,,,BBB+,C,training
"InChI=1S/C13H19NO4S/c1-3-9-14(10-4-2)19(17,18)12-7-5-11(6-8-12)13(15)16/h5-8H,3-4,9-10H2,1-2H3,(H,15,16)",Probenecid,4-(dipropylsulfamoyl)benzoic acid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,4911.0,R7:142|R14:793|R23:858|R25:512|R28:225|R29:137|R46:429|R51:117,-0.4,B,BBB+,A,test
"InChI=1S/C13H20ClN3O/c1-3-17(4-2)8-7-16-13(18)10-5-6-12(15)11(14)9-10/h5-6,9H,3-4,7-8,15H2,1-2H3,(H,16,18)",Declopramide,4-amino-3-chloro-N-[2-(diethylamino)ethyl]benzamide,CCN(CC)CCNC(=O)c1ccc(N)c(Cl)c1,70177.0,R26:146,0.14,A,BBB+,A,training
"InChI=1S/C13H20N2O2/c1-3-15(4-2)9-10-17-13(16)11-5-7-12(14)8-6-11/h5-8H,3-4,9-10,14H2,1-2H3",Procaine,2-(diethylamino)ethyl 4-aminobenzoate,CCN(CC)CCOC(=O)c1ccc(N)cc1,4914.0,R3:236|R21:114|R25:364|R26:327|R40:216|R41:212|R46:318|R47:197|R51:293,0.05,B,BBB+,A,training
"InChI=1S/C13H20N2O2/c16-11-13(17)10-14-6-8-15(9-7-14)12-4-2-1-3-5-12/h1-5,13,16-17H,6-11H2/t13-/m0/s1",Levodropropizine,"(2S)-3-(4-phenylpiperazin-1-yl)propane-1,2-diol",OC[C@@H](O)CN1CCN(c2ccccc2)CC1,65859.0,R14:654,,,BBB-,C,training
"InChI=1S/C13H20N2O3S/c1-3-18-11(16)9-10-14(2)12(17)13(19-10)15-7-5-4-6-8-15/h9,13H,3-8H2,1-2H3",Etozolin|Cid 6304,"ethyl 2-(3-methyl-4-oxo-5-piperidin-1-yl-1,3-thiazolidin-2-ylidene)acetate",CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,6304.0,R14:546,,,BBB-,C,training
"InChI=1S/C13H20N2O3S/c1-3-18-11(16)9-10-14(2)12(17)13(19-10)15-7-5-4-6-8-15/h9,13H,3-8H2,1-2H3/b10-9-",Etozoline|Etozolin,"ethyl (2Z)-2-(3-methyl-4-oxo-5-piperidin-1-yl-1,3-thiazolidin-2-ylidene)acetate",CCOC(=O)/C=C1\SC(N2CCCCC2)C(=O)N1C,5743585.0,R23:587,,,BBB-,C,training
"InChI=1S/C13H21N3/c1-2-5-16-6-3-4-10-7-12-11(8-13(10)16)9-14-15-12/h9-10,13H,2-8H2,1H3,(H,14,15)/t10-,13-/m1/s1",Quinpirole,"(4aR,8aR)-5-propyl-1,4,4a,6,7,8,8a,9-octahydropyrazolo[3,4-g]quinoline",CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21,54562.0,R7:147|R29:144,,,BBB+,B,training
"InChI=1S/C13H21N3O/c1-3-16(4-2)10-9-15-13(17)11-5-7-12(14)8-6-11/h5-8H,3-4,9-10,14H2,1-2H3,(H,15,17)",Procainamide Hydrochloride|Procainamide,4-amino-N-[2-(diethylamino)ethyl]benzamide,CCN(CC)CCNC(=O)c1ccc(N)cc1,4913.0,R14:795,,,BBB-,C,training
"InChI=1S/C13H21N3O3/c1-13(2,3)15-7-11(18)8-4-5-10(17)9(6-8)16-12(14)19/h4-6,11,15,17-18H,7H2,1-3H3,(H3,14,16,19)",Carbuterol,[5-[2-(tert-butylamino)-1-hydroxyethyl]-2-hydroxyphenyl]urea,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,36976.0,R6:99,,,BBB-,C,training
"InChI=1S/C13H21N5O2/c1-5-17(6-2)7-8-18-9-14-11-10(18)12(19)16(4)13(20)15(11)3/h9H,5-8H2,1-4H3",Etamiphyllin|Etamiphylline,"7-[2-(diethylamino)ethyl]-1,3-dimethylpurine-2,6-dione",CCN(CC)CCn1cnc2c1c(=O)n(C)c(=O)n2C,28329.0,R6:1685,,,BBB+,C,test
"InChI=1S/C13H21NO2/c1-10(2)14-8-12(15)9-16-13-6-4-5-11(3)7-13/h4-7,10,12,14-15H,8-9H2,1-3H3",Toliprolol,1-(3-methylphenoxy)-3-(propan-2-ylamino)propan-2-ol,Cc1cccc(OCC(O)CNC(C)C)c1,18047.0,R3:291|R3:292|R7:176|R21:225|R25:79|R26:421|R29:171|R40:276|R41:260|R46:77|R47:243,0.28,D,BBB+,A,training
"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3","Salbutamol|Albuterol|Salbutamol, Albuterol|Albuterol Sulfate",4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,2083.0,R3:251|R5:12|R7:155|R12:17|R21:27|R23:898|R25:113|R26:361|R28:393|R29:153|R31:4|R39:11|R40:236|R41:225|R46:111|R47:208|R51:3,-1.3,D,BBB-,A,training
"InChI=1S/C13H22ClN5S/c1-9(2)15-13-16-11(14)10(20-4)12(17-13)19-7-5-18(3)6-8-19/h9H,5-8H2,1-4H3,(H,15,16,17)",Iprozilamine,4-chloro-6-(4-methylpiperazin-1-yl)-5-methylsulfanyl-N-propan-2-ylpyrimidin-2-amine,CSc1c(Cl)nc(NC(C)C)nc1N1CCN(C)CC1,68725.0,R6:1170,,,BBB+,C,test
"InChI=1S/C13H22N2O3/c1-3-5-6-7-8-9-13(4-2)10(16)14-12(18)15-11(13)17/h3-9H2,1-2H3,(H2,14,15,16,17,18)","5-Heptyl-5-Ethyl Barbituric Acid|5-Ethyl-5-Heptyl-1,3-Diazinane-2,4,6-Trione|5-Ethyl-5-Heptylbarbituric Acid","5-ethyl-5-heptyl-1,3-diazinane-2,4,6-trione",CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,43473.0,R3:110|R21:246|R25:96|R40:17|R41:105|R46:94|R47:92,0.02,B,BBB+,A,training
"InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3/b13-9+",66357-35-5|Ranitidine|9|Ranitidine Hydrochloride,"(E)-1-N'-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-1-N-methyl-2-nitroethene-1,1-diamine",CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,3001055.0,R4:143|R7:211|R12:146|R21:119|R25:310|R26:345|R28:40|R34:149|R39:80|R40:227|R46:274|R47:312|R49:9|R49:117|R50:4|R52:9,-1.23,B,BBB-,A,training
"InChI=1S/C13H24N2O2/c1-6-9-12(16)15(10-7-2)11(8-3)13(17)14(4)5/h6,9,11H,7-8,10H2,1-5H3/b9-6+",Cropropamide,"2-[[(E)-but-2-enoyl]-propylamino]-N,N-dimethylbutanamide",C/C=C/C(=O)N(CCC)C(CC)C(=O)N(C)C,5369258.0,R6:397,,,BBB+,C,training
"InChI=1S/C13H24N4O3S/c1-13(2,3)14-8-10(18)9-20-12-11(15-21-16-12)17-4-6-19-7-5-17/h10,14,18H,4-9H2,1-3H3/t10-/m0/s1",Timolol,"(2S)-1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol",CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,33624.0,R23:980,,,BBB-,C,training
"InChI=1S/C13H25NO2/c1-14(2)10-11-16-13(15)9-8-12-6-4-3-5-7-12/h12H,3-11H2,1-2H3",Cyprodenate,2-(dimethylamino)ethyl 3-cyclohexylpropanoate,CN(C)CCOC(=O)CCC1CCCCC1,71875.0,R6:1283,,,BBB+,C,test
"InChI=1S/C13H26N2O4/c1-4-6-8-15-12(17)19-10-13(3,7-5-2)9-18-11(14)16/h4-10H2,1-3H3,(H2,14,16)(H,15,17)",Tybamate,[2-(carbamoyloxymethyl)-2-methylpentyl] N-butylcarbamate,CCCCNC(=O)OCC(C)(CCC)COC(N)=O,20266.0,R6:1524|R51:322,,,BBB+,C,training
"InChI=1S/C13H26N2O4/c1-6-10(4)13(5,7-18-11(14)16)8-19-12(17)15-9(2)3/h9-10H,6-8H2,1-5H3,(H2,14,16)(H,15,17)",Nisobamate,"[2-(carbamoyloxymethyl)-2,3-dimethylpentyl] N-propan-2-ylcarbamate",CCC(C)C(C)(COC(N)=O)COC(=O)NC(C)C,31767.0,R6:1495,,,BBB+,C,training
"InChI=1S/C13H8Cl2N2O4/c14-7-1-4-12(18)9(5-7)13(19)16-11-3-2-8(17(20)21)6-10(11)15/h1-6,18H,(H,16,19)",Niclosamide,5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,4477.0,R14:716,,,BBB-,C,training
"InChI=1S/C13H8Cl2O4S/c14-11-7(13(18)9-2-1-5-20-9)3-4-8(12(11)15)19-6-10(16)17/h1-5H,6H2,(H,16,17)",Ticrynafen|Tienilic Acid,"2-[2,3-dichloro-4-(thiophene-2-carbonyl)phenoxy]acetic acid",O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,38409.0,R14:894,,,BBB-,C,training
"InChI=1S/C13H9F3N2O2/c14-13(15,16)8-3-1-4-9(7-8)18-11-10(12(19)20)5-2-6-17-11/h1-7H,(H,17,18)(H,19,20)",Niflumic|Niflumic Acid,2-[3-(trifluoromethyl)anilino]pyridine-3-carboxylic acid,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,4488.0,R14:718|R23:777,,,BBB-,C,test
"InChI=1S/C13H9IN2OS/c14-9-5-7(1-3-10(9)15)13-16-11-4-2-8(17)6-12(11)18-13/h1-6,17H,15H2",Cid 10451635|2-(3'-Iodo-4'-Aminophenyl)-6-Hydroxybenzothiazole,"2-(4-amino-3-iodophenyl)-1,3-benzothiazol-6-ol",Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I,10451635.0,R21:341|R25:411|R45:1|R46:348|R47:304,0.18,D,BBB+,A,training
InChI=1S/C13H9NO/c1-2-4-12-11(3-1)9-13(15-12)10-5-7-14-8-6-10/h1-9H,Pyridarone,4-(1-benzofuran-2-yl)pyridine,c1ccc2oc(-c3ccncc3)cc2c1,65590.0,R6:1506,,,BBB+,C,training
"InChI=1S/C14H10BrN3O/c15-9-4-5-11-10(7-9)14(17-8-13(19)18-11)12-3-1-2-6-16-12/h1-7H,8H2,(H,18,19)",Bromazepam,"7-bromo-5-pyridin-2-yl-1,3-dihydro-1,4-benzodiazepin-2-one",O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2441.0,R6:684|R14:22|R23:25|R34:9|R37:10|R50:64|R51:164,,,BBB+,C,training
"InChI=1S/C14H10Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8,13-14H",Mitotane,"1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,4211.0,R14:699|R23:756,,,BBB-,C,test
"InChI=1S/C14H10F3NO2/c15-14(16,17)9-4-3-5-10(8-9)18-12-7-2-1-6-11(12)13(19)20/h1-8,18H,(H,19,20)",Flufenamic|Flufenamic Acid,2-[3-(trifluoromethyl)anilino]benzoic acid,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,3371.0,R14:566,,,BBB-,C,training
"InChI=1S/C14H10F3NO5/c15-14(16,17)7-4-5-8(9(6-7)18(22)23)13(21)12-10(19)2-1-3-11(12)20/h4-6,12H,1-3H2",Nitisinone,"2-[2-nitro-4-(trifluoromethyl)benzoyl]cyclohexane-1,3-dione",O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],115355.0,R14:723|R23:783,,,BBB-,C,test
"InChI=1S/C14H10N2O6/c17-11-3-1-7(5-9(11)13(19)20)15-16-8-2-4-12(18)10(6-8)14(21)22/h1-6,17-18H,(H,19,20)(H,21,22)/b16-15+",Olsalazine,5-[(3-carboxy-4-hydroxyphenyl)diazenyl]-2-hydroxybenzoic acid,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,22419.0,R7:123|R23:793|R29:119,,,BBB-,B,training
"InChI=1S/C14H10N4O5/c19-13-8-17(14(20)16-13)15-7-11-5-6-12(23-11)9-1-3-10(4-2-9)18(21)22/h1-7H,8H2,(H,16,19,20)/b15-7+",Dantrolene|Dantrium,"1-[(Z)-[5-(4-nitrophenyl)furan-2-yl]methylideneamino]imidazolidine-2,4-dione",O=C1CN(/N=C\c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,5378825.0,R23:58,,,BBB+,C,training
InChI=1S/C14H10O4/c15-13(11-7-3-1-4-8-11)17-18-14(16)12-9-5-2-6-10-12/h1-10H,Benzoyl Peroxide,benzoyl benzenecarboperoxoate,O=C(OOC(=O)c1ccccc1)c1ccccc1,7187.0,R23:1045,,,BBB-,C,training
"InChI=1S/C14H11Cl2NO2/c1-8-6-7-10(15)13(12(8)16)17-11-5-3-2-4-9(11)14(18)19/h2-7,17H,1H3,(H,18,19)",Meclofenamate Sodium|Meclofenamate|Meclofenamic Acid,"2-(2,6-dichloro-3-methylanilino)benzoic acid",Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,4037.0,R14:666|R51:80,,,BBB-,C,training
"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)",Diclofenac,"2-[2-(2,6-dichloroanilino)phenyl]acetic acid",O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3033.0,R14:73|R23:66|R26:161,-1.3,A,BBB-,A,training
